矫焙备,锅瘤,档肺炼扒,拌距搁利(С),傈岿技备盒,拌距斥岿,拌距老,焊刘陛(父盔),岿技(父盔)
面没合档 没林蕊傣备 汗措悼,8**,8m固父,25,傈技,202002,20,"         3,000",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,25,傈技,201912,20,"         3,500",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,25,傈技,202003,22,"         3,000",             0
面没合档 没林蕊傣备 汗措悼,3***,-,25,傈技,201912,22,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,*,12m固父,25,傈技,201906,23,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,*,-,25,傈技,201906,23,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,2***,12m固父,25,傈技,201905,24,"         3,000",             0
面没合档 没林蕊傣备 汗措悼,2***,12m固父,25,傈技,201906,25,"         2,000",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,25,傈技,201912,25,"         3,500",             0
面没合档 没林蕊傣备 汗措悼,8**,-,25,傈技,201912,25,"         5,500",             0
面没合档 没林蕊傣备 汗措悼,9**,25m固父,25,傈技,202002,26,"         3,500",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,25,傈技,202002,27,"         3,000",             0
面没合档 没林蕊傣备 汗措悼,9**,25m固父,25,傈技,201908,27,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,2***,12m固父,25,傈技,201908,28,"         2,000",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,25,傈技,202002,28,"         3,500",             0
面没合档 没林蕊傣备 汗措悼,9**,8m固父,25,傈技,202001,28,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,2**,-,25,傈技,201912,28,"         4,300",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,25,傈技,201912,28,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,25,傈技,201912,28,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,25,傈技,202001,28,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,1***,25m固父,25,傈技,202004,29,"         3,300",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,25,傈技,201909,29,"         3,500",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,25,傈技,202001,29,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,1***,25m固父,25,傈技,202001,29,"         5,500",             0
面没合档 没林蕊傣备 汗措悼,1***,25m固父,25,傈技,202001,30,"         5,500",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,25,傈技,202001,31,"         3,500",             0
面没合档 没林蕊傣备 汗措悼,1**,8m固父,25.12,傈技,202002,3,"         3,500",             0
面没合档 没林蕊傣备 汗措悼,2***,12m固父,25.12,傈技,202001,6,"         2,000",             0
面没合档 没林蕊傣备 汗措悼,2***,12m固父,25.19,岿技,201911,18,"         2,000",            30
面没合档 没林蕊傣备 汗措悼,8**,8m固父,25.22,岿技,201912,23,           100,            25
面没合档 没林蕊傣备 汗措悼,1***,8m固父,25.95,傈技,202001,28,"         3,500",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,25.95,傈技,202001,28,"         3,500",             0
面没合档 没林蕊傣备 汗措悼,1***,25m固父,26,岿技,201905,1,"         3,000",            40
面没合档 没林蕊傣备 汗措悼,8**,8m固父,26,岿技,202001,16,           100,            31
面没合档 没林蕊傣备 汗措悼,3***,-,26,傈技,201908,7,"         4,500",             0
面没合档 没林蕊傣备 汗措悼,3*,8m固父,26,傈技,201906,7,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,3***,12m固父,26,傈技,201909,11,"         3,000",             0
面没合档 没林蕊傣备 汗措悼,7**,8m固父,26,傈技,202002,11,"         4,500",             0
面没合档 没林蕊傣备 汗措悼,2***,8m固父,26,傈技,202001,18,"         3,500",             0
面没合档 没林蕊傣备 汗措悼,2***,8m固父,26,傈技,202001,18,"         3,500",             0
面没合档 没林蕊傣备 汗措悼,1***,12m固父,26,傈技,202001,22,"         3,000",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,26.01,傈技,202001,3,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,2***,12m固父,26.4,岿技,201909,3,            50,            25
面没合档 没林蕊傣备 汗措悼,3***,12m固父,26.4,岿技,201905,5,           300,            36
面没合档 没林蕊傣备 汗措悼,8**,12m固父,26.4,岿技,202004,8,           300,            36
面没合档 没林蕊傣备 汗措悼,1**,12m固父,26.4,岿技,202004,12,"         1,500",            32
面没合档 没林蕊傣备 汗措悼,1*,-,26.4,岿技,201910,26,           200,            35
面没合档 没林蕊傣备 汗措悼,3*,8m固父,26.4,岿技,201907,27,"         2,000",            20
面没合档 没林蕊傣备 汗措悼,3**,12m固父,26.4,傈技,202002,8,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,5*,8m固父,26.4,傈技,202003,10,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,1**,-,26.4,傈技,202004,16,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,3***,12m固父,26.4,傈技,202003,20,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,2**,8m固父,26.4,傈技,201912,24,"         3,500",             0
面没合档 没林蕊傣备 汗措悼,3***,12m固父,26.44,岿技,201905,7,           300,            38
面没合档 没林蕊傣备 汗措悼,3***,12m固父,26.44,岿技,201907,13,           300,            35
面没合档 没林蕊傣备 汗措悼,3***,12m固父,26.44,岿技,202003,27,           200,            30
面没合档 没林蕊傣备 汗措悼,3***,12m固父,26.44,岿技,201905,29,           200,            30
面没合档 没林蕊傣备 汗措悼,2***,12m固父,26.44,岿技,202003,31,           100,            25
面没合档 没林蕊傣备 汗措悼,1**,-,26.44,傈技,202004,16,"         6,000",             0
面没合档 没林蕊傣备 汗措悼,3***,25m固父,26.44,傈技,202004,21,"         5,500",             0
面没合档 没林蕊傣备 汗措悼,5*,8m固父,26.45,傈技,201909,16,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,2***,12m固父,26.45,傈技,201912,25,"         2,000",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,26.53,傈技,202004,21,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,1**,8m固父,26.66,岿技,201906,10,           200,            32
面没合档 没林蕊傣备 汗措悼,2***,12m固父,26.9,傈技,201909,16,           270,             0
面没合档 没林蕊傣备 汗措悼,2***,12m固父,27,岿技,201907,11,           100,            27
面没合档 没林蕊傣备 汗措悼,5*,8m固父,27,岿技,201905,17,           700,            25
面没合档 没林蕊傣备 汗措悼,3***,12m固父,27,岿技,202002,24,           500,            33
面没合档 没林蕊傣备 汗措悼,1***,25m固父,27,岿技,201907,29,           100,            30
面没合档 没林蕊傣备 汗措悼,3***,-,27,傈技,201908,5,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,3***,-,27,傈技,202002,14,"         3,800",             0
面没合档 没林蕊傣备 汗措悼,*,12m固父,27,傈技,201906,15,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,1***,12m固父,27,傈技,202003,15,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,3***,12m固父,27,傈技,201908,27,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,3***,12m固父,27,傈技,201908,28,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,1**,8m固父,27,傈技,201909,29,"         2,000",             0
面没合档 没林蕊傣备 汗措悼,7**,8m固父,27,傈技,201911,30,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,5*,8m固父,27.2,傈技,201907,5,"         3,500",             0
面没合档 没林蕊傣备 汗措悼,5*,8m固父,27.41,傈技,202003,11,"         3,500",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,27.94,傈技,201911,19,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,2***,8m固父,28,岿技,201912,4,"         3,000",            20
面没合档 没林蕊傣备 汗措悼,2***,12m固父,28,岿技,202001,11,           200,            28
面没合档 没林蕊傣备 汗措悼,8**,8m固父,28,岿技,201906,22,           300,            35
面没合档 没林蕊傣备 汗措悼,1***,12m固父,28,岿技,202002,23,"         1,000",            33
面没合档 没林蕊傣备 汗措悼,2***,12m固父,28,岿技,202003,25,           100,            24
面没合档 没林蕊傣备 汗措悼,1***,12m固父,28,岿技,201905,26,           300,            30
面没合档 没林蕊傣备 汗措悼,2***,12m固父,28,岿技,202003,27,           100,            28
面没合档 没林蕊傣备 汗措悼,8**,8m固父,28,傈技,201911,2,"         3,500",             0
面没合档 没林蕊傣备 汗措悼,2***,8m固父,28,傈技,202003,6,"         1,500",             0
面没合档 没林蕊傣备 汗措悼,2***,12m固父,28,傈技,202002,11,"         4,500",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,28,傈技,201908,14,"         3,700",             0
面没合档 没林蕊傣备 汗措悼,3***,25m固父,28,傈技,201905,17,"         4,500",             0
面没合档 没林蕊傣备 汗措悼,3*,8m固父,28,傈技,201910,19,"         3,500",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,28,傈技,201912,19,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,*,12m固父,28,傈技,201907,22,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,28,傈技,201912,24,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,28.05,傈技,201912,12,"         3,500",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,28.05,傈技,201912,12,"         3,500",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,28.12,岿技,202001,14,"         1,000",            32
面没合档 没林蕊傣备 汗措悼,2**,8m固父,28.12,岿技,202002,22,           200,            35
面没合档 没林蕊傣备 汗措悼,8**,8m固父,28.5,岿技,201909,20,"         1,500",            38
面没合档 没林蕊傣备 汗措悼,2***,12m固父,29,傈技,201912,7,"         3,000",             0
面没合档 没林蕊傣备 汗措悼,7*,8m固父,29,傈技,201908,13,"         3,500",             0
面没合档 没林蕊傣备 汗措悼,7**,-,29,傈技,202002,22,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,8*,25m固父,29.08,傈技,201905,22,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,3**,12m固父,29.4,傈技,201905,14,"         4,500",             0
面没合档 没林蕊傣备 汗措悼,3***,12m固父,29.44,岿技,202003,5,           300,            35
面没合档 没林蕊傣备 汗措悼,2***,12m固父,29.44,岿技,201907,12,           100,            23
面没合档 没林蕊傣备 汗措悼,2***,12m固父,29.44,岿技,201908,14,           100,            30
面没合档 没林蕊傣备 汗措悼,2***,12m固父,29.44,岿技,201908,16,           200,            30
面没合档 没林蕊傣备 汗措悼,1***,25m固父,29.7,岿技,201905,1,           300,            33
面没合档 没林蕊傣备 汗措悼,5*,8m固父,29.7,岿技,201910,3,           200,            28
面没合档 没林蕊傣备 汗措悼,1**,8m固父,29.7,岿技,202002,4,"         1,500",            19
面没合档 没林蕊傣备 汗措悼,3***,12m固父,29.7,岿技,202004,7,           200,            32
面没合档 没林蕊傣备 汗措悼,1***,12m固父,29.7,岿技,202003,12,           300,            28
面没合档 没林蕊傣备 汗措悼,1***,12m固父,29.7,岿技,202002,15,            50,            30
面没合档 没林蕊傣备 汗措悼,1***,8m固父,29.7,岿技,202003,16,           500,            25
面没合档 没林蕊傣备 汗措悼,4**,12m固父,29.7,岿技,202003,18,           300,            40
面没合档 没林蕊傣备 汗措悼,1***,12m固父,29.7,岿技,201908,27,           200,            32
面没合档 没林蕊傣备 汗措悼,8*,25m固父,29.7,岿技,201912,29,           300,            27
面没合档 没林蕊傣备 汗措悼,8**,8m固父,29.7,傈技,202001,7,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,29.7,傈技,202001,7,"         5,500",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,29.7,傈技,202002,9,"         3,500",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,29.7,傈技,201905,14,"         2,000",             0
面没合档 没林蕊傣备 汗措悼,3***,12m固父,29.7,傈技,201911,15,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,3***,12m固父,29.7,傈技,201911,15,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,29.7,傈技,201911,17,"         5,500",             0
面没合档 没林蕊傣备 汗措悼,1**,8m固父,29.7,傈技,201905,21,"         2,000",             0
面没合档 没林蕊傣备 汗措悼,1***,12m固父,29.7,傈技,201907,24,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,3*,8m固父,29.7,傈技,201911,29,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,2**,8m固父,29.75,岿技,202002,29,           100,            24
面没合档 没林蕊傣备 汗措悼,3***,12m固父,29.85,傈技,202003,25,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,1**,8m固父,30,岿技,201905,1,           250,            25
面没合档 没林蕊傣备 汗措悼,1***,8m固父,30,岿技,202001,3,           300,            35
面没合档 没林蕊傣备 汗措悼,2*,8m固父,30,岿技,201905,3,           300,            37
面没合档 没林蕊傣备 汗措悼,2**,8m固父,30,岿技,202001,5,           200,            28
面没合档 没林蕊傣备 汗措悼,2***,-,30,岿技,201907,5,"         2,500",            24
面没合档 没林蕊傣备 汗措悼,1***,8m固父,30,岿技,201905,6,           100,            25
面没合档 没林蕊傣备 汗措悼,4**,12m固父,30,岿技,202002,8,"         1,500",            20
面没合档 没林蕊傣备 汗措悼,4*,8m固父,30,岿技,201905,10,           100,            25
面没合档 没林蕊傣备 汗措悼,1*,8m固父,30,岿技,201908,11,"         4,500",             5
面没合档 没林蕊傣备 汗措悼,8**,8m固父,30,岿技,202002,12,           100,            25
面没合档 没林蕊傣备 汗措悼,3***,12m固父,30,岿技,201909,14,           300,            33
面没合档 没林蕊傣备 汗措悼,3***,12m固父,30,岿技,201909,14,           300,            33
面没合档 没林蕊傣备 汗措悼,1**,8m固父,30,岿技,201912,15,           150,            30
面没合档 没林蕊傣备 汗措悼,2***,12m固父,30,岿技,201905,19,"         1,000",            19
面没合档 没林蕊傣备 汗措悼,9**,-,30,岿技,202002,20,           500,            32
面没合档 没林蕊傣备 汗措悼,1***,12m固父,30,岿技,202002,20,"         1,500",            28
面没合档 没林蕊傣备 汗措悼,1***,-,30,岿技,201908,23,           150,            35
面没合档 没林蕊傣备 汗措悼,8**,8m固父,30,岿技,202002,23,           200,            25
面没合档 没林蕊傣备 汗措悼,2***,12m固父,30,岿技,202001,23,           300,            30
面没合档 没林蕊傣备 汗措悼,1***,25m固父,30,岿技,202004,25,           200,            30
面没合档 没林蕊傣备 汗措悼,1***,8m固父,30,岿技,202002,25,"         1,700",            20
面没合档 没林蕊傣备 汗措悼,1**,8m固父,30,岿技,201909,26,           200,            30
面没合档 没林蕊傣备 汗措悼,3**,25m固父,30,岿技,202004,27,           400,            45
面没合档 没林蕊傣备 汗措悼,2***,-,30,岿技,201905,29,           100,            25
面没合档 没林蕊傣备 汗措悼,1***,-,30,岿技,201912,29,           200,            32
面没合档 没林蕊傣备 汗措悼,3***,12m固父,30,岿技,201912,29,           200,            50
面没合档 没林蕊傣备 汗措悼,4**,12m固父,30,岿技,201911,29,"         1,000",            40
面没合档 没林蕊傣备 汗措悼,2**,8m固父,30,岿技,202003,29,"         1,500",            15
面没合档 没林蕊傣备 汗措悼,3***,12m固父,30,岿技,201905,30,"         1,000",            30
面没合档 没林蕊傣备 汗措悼,2***,12m固父,30,傈技,201907,1,"         3,500",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,30,傈技,202003,2,"         3,500",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,30,傈技,202002,2,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,3***,-,30,傈技,202004,2,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,2***,12m固父,30,傈技,201908,3,"         1,700",             0
面没合档 没林蕊傣备 汗措悼,1*,12m固父,30,傈技,201908,3,"         2,300",             0
面没合档 没林蕊傣备 汗措悼,2***,12m固父,30,傈技,201909,3,"         3,000",             0
面没合档 没林蕊傣备 汗措悼,3***,12m固父,30,傈技,202001,4,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,30,傈技,202002,4,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,5*,8m固父,30,傈技,202004,4,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,2***,12m固父,30,傈技,202001,6,"         2,000",             0
面没合档 没林蕊傣备 汗措悼,2***,12m固父,30,傈技,202003,6,"         2,000",             0
面没合档 没林蕊傣备 汗措悼,2***,12m固父,30,傈技,202003,6,"         2,500",             0
面没合档 没林蕊傣备 汗措悼,3***,25m固父,30,傈技,201908,6,"         4,500",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,30,傈技,202002,7,"         2,500",             0
面没合档 没林蕊傣备 汗措悼,2***,12m固父,30,傈技,201905,7,"         2,500",             0
面没合档 没林蕊傣备 汗措悼,2***,12m固父,30,傈技,201906,8,"         1,700",             0
面没合档 没林蕊傣备 汗措悼,3***,25m固父,30,傈技,201908,8,"         4,500",             0
面没合档 没林蕊傣备 汗措悼,2***,12m固父,30,傈技,201907,9,"         3,500",             0
面没合档 没林蕊傣备 汗措悼,3***,12m固父,30,傈技,202004,9,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,3***,12m固父,30,傈技,201912,9,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,30,傈技,202001,9,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,7**,8m固父,30,傈技,202002,10,"         4,500",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,30,傈技,202001,10,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,4**,-,30,傈技,202001,10,"         6,500",             0
面没合档 没林蕊傣备 汗措悼,3***,12m固父,30,傈技,201906,11,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,9**,8m固父,30,傈技,202002,12,"         2,000",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,30,傈技,202003,12,"         3,500",             0
面没合档 没林蕊傣备 汗措悼,2***,8m固父,30,傈技,202001,12,"         4,500",             0
面没合档 没林蕊傣备 汗措悼,3***,25m固父,30,傈技,202002,13,"         4,500",             0
面没合档 没林蕊傣备 汗措悼,3***,12m固父,30,傈技,202001,13,"         4,500",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,30,傈技,201912,13,"         6,000",             0
面没合档 没林蕊傣备 汗措悼,2**,8m固父,30,傈技,201905,14,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,2***,12m固父,30,傈技,201910,15,"         2,000",             0
面没合档 没林蕊傣备 汗措悼,3***,12m固父,30,傈技,201908,15,"         4,500",             0
面没合档 没林蕊傣备 汗措悼,9**,-,30,傈技,201906,15,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,30,傈技,202003,16,"         3,500",             0
面没合档 没林蕊傣备 汗措悼,1*,8m固父,30,傈技,201908,17,"         3,300",             0
面没合档 没林蕊傣备 汗措悼,3***,12m固父,30,傈技,201907,17,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,30,傈技,201909,18,"         2,000",             0
面没合档 没林蕊傣备 汗措悼,2***,8m固父,30,傈技,201911,18,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,5*,8m固父,30,傈技,201909,18,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,5*,8m固父,30,傈技,201909,18,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,30,傈技,202001,18,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,2***,12m固父,30,傈技,201909,19,"         2,500",             0
面没合档 没林蕊傣备 汗措悼,1**,8m固父,30,傈技,201909,19,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,30,傈技,201912,19,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,30,傈技,202002,20,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,30,傈技,202002,21,"         5,500",             0
面没合档 没林蕊傣备 汗措悼,1**,-,30,傈技,202004,21,"         6,000",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,30,傈技,201912,22,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,2***,12m固父,30,傈技,201909,23,"         2,000",             0
面没合档 没林蕊傣备 汗措悼,2***,-,30,傈技,201908,23,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,30,傈技,201912,24,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,3***,12m固父,30,傈技,201907,25,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,2***,12m固父,30,傈技,201906,26,"         2,500",             0
面没合档 没林蕊傣备 汗措悼,2***,12m固父,30,傈技,201908,27,"         3,000",             0
面没合档 没林蕊傣备 汗措悼,2***,25m固父,30,傈技,202003,27,"         3,000",             0
面没合档 没林蕊傣备 汗措悼,2***,25m固父,30,傈技,201906,28,"         3,000",             0
面没合档 没林蕊傣备 汗措悼,2***,12m固父,30,傈技,201909,28,"         3,300",             0
面没合档 没林蕊傣备 汗措悼,3***,12m固父,30,傈技,201910,28,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,2***,-,30,傈技,201912,28,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,2***,12m固父,30,傈技,201905,29,"         2,000",             0
面没合档 没林蕊傣备 汗措悼,7**,8m固父,30,傈技,202002,29,"         4,500",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,30,傈技,201907,30,"         3,500",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,30.04,傈技,202001,6,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,1***,-,30.04,傈技,201907,17,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,3***,12m固父,30.12,岿技,201909,1,           300,            36
面没合档 没林蕊傣备 汗措悼,2***,12m固父,30.12,岿技,201911,5,           100,            30
面没合档 没林蕊傣备 汗措悼,3**,8m固父,30.12,岿技,201907,13,           500,            36
面没合档 没林蕊傣备 汗措悼,1*,12m固父,30.12,岿技,201909,18,           200,            31
面没合档 没林蕊傣备 汗措悼,1***,8m固父,30.12,岿技,202002,21,           800,            35
面没合档 没林蕊傣备 汗措悼,3***,12m固父,30.12,岿技,201910,22,           200,            35
面没合档 没林蕊傣备 汗措悼,8**,8m固父,30.12,岿技,201912,23,           600,            30
面没合档 没林蕊傣备 汗措悼,2***,12m固父,30.12,岿技,201905,25,           100,            25
面没合档 没林蕊傣备 汗措悼,2**,8m固父,30.2,傈技,202001,8,"         3,000",             0
面没合档 没林蕊傣备 汗措悼,2**,8m固父,30.2,傈技,201906,21,"         3,000",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,30.25,傈技,202001,3,"         4,500",             0
面没合档 没林蕊傣备 汗措悼,1***,12m固父,31,傈技,202004,2,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,2***,12m固父,31,傈技,202001,5,"         3,000",             0
面没合档 没林蕊傣备 汗措悼,3***,12m固父,31.2,傈技,201906,20,"         3,500",             0
面没合档 没林蕊傣备 汗措悼,1***,12m固父,31.37,傈技,202002,11,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,1**,12m固父,31.5,傈技,202001,2,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,2***,8m固父,32,傈技,201907,5,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,32,傈技,201908,7,"         2,200",             0
面没合档 没林蕊傣备 汗措悼,3***,25m固父,32,傈技,201905,28,"         4,500",             0
面没合档 没林蕊傣备 汗措悼,8**,-,32.12,傈技,201908,26,"         6,500",             0
面没合档 没林蕊傣备 汗措悼,8**,-,32.12,傈技,201908,26,"         6,500",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,32.15,傈技,202002,13,"         3,000",             0
面没合档 没林蕊傣备 汗措悼,2**,8m固父,32.39,岿技,201908,9,           200,            30
面没合档 没林蕊傣备 汗措悼,3***,12m固父,32.47,傈技,201910,30,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,32.69,傈技,201908,2,"         2,500",             0
面没合档 没林蕊傣备 汗措悼,3***,12m固父,33,岿技,201910,1,           200,            32
面没合档 没林蕊傣备 汗措悼,3***,12m固父,33,岿技,201908,2,           200,            35
面没合档 没林蕊傣备 汗措悼,3***,12m固父,33,岿技,201908,5,           300,            35
面没合档 没林蕊傣备 汗措悼,8**,8m固父,33,岿技,202002,10,"         1,500",            28
面没合档 没林蕊傣备 汗措悼,1*,8m固父,33,岿技,201911,12,           200,            30
面没合档 没林蕊傣备 汗措悼,1**,12m固父,33,岿技,201910,12,           300,            35
面没合档 没林蕊傣备 汗措悼,5*,8m固父,33,岿技,201906,14,           300,            33
面没合档 没林蕊傣备 汗措悼,6*,8m固父,33,岿技,201912,15,           500,            26
面没合档 没林蕊傣备 汗措悼,3***,12m固父,33,岿技,201907,16,           200,            32
面没合档 没林蕊傣备 汗措悼,3***,12m固父,33,岿技,201907,16,           400,            29
面没合档 没林蕊傣备 汗措悼,3*,12m固父,33,岿技,202002,19,           200,            30
面没合档 没林蕊傣备 汗措悼,1**,12m固父,33,岿技,202001,20,"         2,000",            25
面没合档 没林蕊傣备 汗措悼,2**,8m固父,33,岿技,202004,21,"         1,000",            30
面没合档 没林蕊傣备 汗措悼,3***,12m固父,33,岿技,202003,22,           300,            35
面没合档 没林蕊傣备 汗措悼,1*,12m固父,33,岿技,201906,23,           200,            30
面没合档 没林蕊傣备 汗措悼,2***,12m固父,33,岿技,201907,29,           100,            25
面没合档 没林蕊傣备 汗措悼,1*,8m固父,33,傈技,202004,1,"         5,000",             0
